Duración del viaje;Periodo;Total
De 4 a 7 noches;2016M01;1.597.268,00
De 8 a 15 noches;2016M01;782.868,00
Más de 15 noches;2016M01;359.261,00
Ninguna noche;2015M12;
1 noche;2015M12;
De 2 a 3 noches;2015M12;
De 4 a 7 noches;2015M12;
De 8 a 15 noches;2015M12;
Más de 15 noches;2015M12;
Ninguna noche;2015M11;
1 noche;2015M11;
De 2 a 3 noches;2015M11;
De 4 a 7 noches;2015M11;
De 8 a 15 noches;2015M11;
Más de 15 noches;2015M11;
Ninguna noche;2015M10;
1 noche;2015M10;
De 2 a 3 noches;2015M10;
De 4 a 7 noches;2015M10;
De 8 a 15 noches;2015M10;
Más de 15 noches;2015M10;
